date,session_date,setup_detected,direction,poi_type,sweep_level,pattern_candle_a,pattern_candle_b,entry_price,stop_loss,take_profit,sl_distance,tp_distance,trader_agrees,actual_result,hypothetical_pnl,notes
2026-05-04T15:29:54.914895,2025-04-23,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:54.953873,2025-04-24,True,SHORT,BEARISH,40097.4,,,40003.5,40080.4,39849.7,76.9,153.8,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:54.992954,2025-04-25,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.059339,2025-04-27,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.102906,2025-04-28,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.139377,2025-04-29,True,SHORT,BEARISH,40545.5,,,40583.9,40643.9,40463.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.177538,2025-04-30,True,SHORT,BEARISH,40376.5,,,40374.9,40434.9,40254.9,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.219053,2025-05-01,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.256531,2025-05-02,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.282998,2025-05-04,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.321910,2025-05-05,True,SHORT,BEARISH,41440.4,,,41389.6,41449.6,41269.6,60.0,120.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.360237,2025-05-06,True,LONG,BULLISH,40872.0,,,40857.9,40784.9,41003.9,73.0,146.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.398522,2025-05-07,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.434086,2025-05-08,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.471038,2025-05-09,True,SHORT,BEARISH,41340.5,,,41276.5,41345.5,41138.5,69.0,138.0,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.500676,2025-05-11,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.537312,2025-05-12,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.583133,2025-05-13,True,LONG,BULLISH,42198.0,,,42295.5,42214.8,42456.9,80.7,161.4,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.624846,2025-05-14,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.664911,2025-05-15,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.701935,2025-05-16,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.728428,2025-05-18,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.762436,2025-05-19,False,,,,,,,,,,,,,,No valid signal from strategy
2026-05-04T15:29:55.800587,2025-05-20,True,LONG,BULLISH,42637.1,,,42648.1,42549.0,42846.3,99.1,198.2,,,,Dry-run: awaiting manual trader verification
2026-05-04T15:29:55.836225,2025-05-21,False,,,,,,,,,,,,,,No valid signal from strategy
